income,employment_length,loan_amount,loan_interest_rate,credit_history_length,max_allowed_loan
182004,3,35000,8.0,11,35000
90000,3,35000,12.42,14,35000
131004,9,30000,7.9,13,30000
150000,9,25000,11.89,11,25000
132000,3,25000,16.82,17,25000
80000,2,25000,10.25,11,25000
80000,9,25000,18.67,17,25000
60000,5,25000,11.97,12,25000
85000,3,25000,12.18,16,25000
69996,19,25000,18.25,14,25000
186996,18,25000,6.99,17,25000
120000,9,25000,10.75,12,25000
179000,7,25000,10.99,17,25000
140000,2,24500,11.83,14,24500
210000,1,24000,10.65,15,24000
150000,2,24000,11.83,13,24000
170000,1,21000,14.72,12,21000
125000,1,21000,6.99,16,21000
120000,4,20000,15.95,15,20000
60000,13,20000,14.54,14,20000
37460,7,11000,6.54,3,32055
42000,5,12000,13.06,4,32077
33000,0,7500,6.62,4,32079
36000,3,7500,13.48,3,32081
36000,3,7500,10.38,2,32081
36000,5,7500,8.49,2,32081
36000,5,7500,12.53,4,32081
33996,1,3600,12.98,4,32083
30000,0,2400,11.71,2,32089
29120,0,7200,8.94,5,32089
24000,0,1500,12.21,10,32089
24000,4,1500,12.99,6,32089
32000,4,1500,12.99,3,32092
32000,5,1500,14.35,4,32092
37000,4,14125,12.68,2,32095
28800,3,1000,14.27,2,32113
24996,0,6600,12.99,9,32119
33000,3,2500,14.35,4,32140
33000,4,2500,6.76,2,32140
28800,6,2400,14.27,4,32148
35400,0,5000,6.03,3,32155
24000,4,6000,9.63,28,32157
30000,1,8300,8.9,6,32175
30996,0,5000,7.29,2,32178
26000,4,5500,10.65,9,32178
24000,6,5000,11.83,5,32178
24000,5,5000,7.29,8,32178
24000,0,5000,6.91,7,32178
24000,0,5000,6.76,5,32178
24000,2,5000,10.65,8,32178
30000,0,3800,7.51,2,32185
32000,6,3000,11.83,3,32188
32000,0,3000,6.99,3,32188
31200,4,8325,8.9,3,32211
35000,4,15000,10.37,7,32217
38400,6,10000,10.25,3,32218
38400,2,10000,15.05,2,32218
38400,6,10000,7.14,2,32218
38400,3,10000,9.25,3,32218
38400,4,10000,8.94,4,32218
38400,0,10000,10.37,2,32218
45000,6,15000,10.59,4,32224
45000,2,15000,13.98,4,32224
45000,5,15000,13.49,4,32224
33000,5,9000,10.99,4,32226
35000,2,8000,11.86,2,32229
35000,4,8000,13.43,4,32229
35000,1,8000,9.45,2,32229
35000,2,8000,13.61,4,32229
35000,1,8000,9.32,4,32229
25000,3,4000,7.49,7,32232
35000,5,4500,10.99,4,32236
30000,1,11225,10.59,5,32244
